Sample_ID	Pop_ID	Loc_ID	Locus_1.1	Locus_1.2	Locus_1.3	UDO.1	UDO.2	UDO.3	Locus_3.1	Locus_3.2	Locus_3.3	Locus_4.1	Locus_4.2	Locus_4.3	GAAF35454.1	GAAF35454.2	GAAF35454.3	Locus_6.1	Locus_6.2	Locus_6.3
S64	5	5	162	186	200	232	238	256	312	346	376	348	362	414	348	358	346	232	276	292
S65	5	3	150	180	198	232	238	242	306	350	386	352	372	414	348	344	350	246	266	298
S66	2	8	170	178	202	232	230	258	308	348	372	352	364	406	356	348	342	234	262	294
S67	12	5	164	180	194	220	220	240	308	350	382	352	368	418	358	344	348	246	268	296
S68	14	5	140	178	192	232	236	252	318	344	370	346	364	400	346	352	344	248	280	288
S69	10	2	170	188	198	224	224	246	312	342	388	348	362	408	352	356	346	240	266	294
S70	12	4	146	188	190	222	232	246	316	352	386	342	372	418	348	346	300	240	262	282
S71	12	5	162	186	194	234	300	242	310	348	372	358	378	400	350	300	350	238	262	282
S72	14	4	166	178	208	230	220	242	306	342	380	358	378	400	354	352	356	232	280	300
S73	14	7	154	174	190	236	236	244	302	354	378	344	368	412	354	348	350	248	276	298
S74	10	1	146	186	200	232	220	252	302	342	378	356	374	404	342	300	344	246	272	294
S75	1	6	150	188	202	222	224	256	302	346	378	358	366	410	358	354	344	248	262	298
S76	14	4	166	178	206	238	226	242	314	350	380	300	372	416	352	300	300	234	266	286
S77	11	3	170	182	194	224	224	258	318	358	386	342	364	404	358	354	358	244	268	298
S78	7	7	146	174	204	222	234	250	300	350	378	346	366	412	348	354	356	244	272	282
S79	12	4	162	178	202	236	236	250	310	356	386	300	378	404	344	300	358	232	272	300
S80	3	8	164	174	200	236	236	248	318	342	384	300	360	404	300	348	358	232	268	294
S81	4	4	162	176	194	222	236	240	316	350	380	344	364	400	354	346	356	242	280	300
S82	14	1	140	180	208	228	220	254	318	354	384	300	374	410	346	342	348	240	278	298
S83	10	6	142	176	196	228	226	246	NA	NA	NA	358	362	402	356	348	358	244	264	282
S84	15	7	166	182	208	230	222	256	314	358	386	300	378	400	354	354	350	248	264	294
S85	11	1	142	176	206	238	230	250	306	350	388	356	362	412	346	346	350	240	274	294
S86	15	6	166	172	196	238	232	240	312	356	378	348	366	402	346	356	342	230	276	292
S87	9	8	162	172	194	238	232	250	318	356	370	348	372	414	342	354	352	238	280	282
S88	14	5	166	178	208	232	236	246	314	344	376	354	372	412	352	358	346	240	266	300
S89	9	1	160	174	200	236	234	250	312	350	386	354	370	412	356	356	356	234	262	294
S90	3	3	170	184	206	228	236	244	300	358	370	346	378	410	350	342	344	244	278	288
S91	7	3	160	174	190	230	230	258	318	354	386	354	360	412	358	346	358	246	266	296
S92	6	2	162	184	208	234	230	240	312	346	378	348	362	400	356	354	350	230	270	290
S93	3	1	154	176	198	236	222	244	302	348	378	358	374	402	350	352	300	240	266	296
S94	1	8	160	174	190	234	238	248	302	352	382	354	366	412	346	346	342	246	274	282
S95	10	4	142	186	192	222	224	244	312	354	384	358	374	412	352	350	358	230	278	300
S96	2	3	154	184	202	238	224	252	314	342	382	348	362	408	350	358	300	230	280	284
S97	12	2	142	178	206	220	230	250	310	356	378	346	362	404	352	358	300	248	262	300
S98	10	3	146	176	206	234	220	258	318	352	386	354	364	404	356	352	352	240	278	286
S99	15	4	154	182	194	232	224	252	302	346	388	356	368	408	344	358	300	230	264	284
S100	3	2	166	174	196	228	226	248	304	358	386	354	368	406	358	348	348	244	272	298
S101	9	6	140	186	208	228	220	252	300	358	382	344	368	406	358	358	358	240	274	290
S102	7	8	142	172	208	236	222	242	310	354	380	356	376	408	352	356	356	240	280	288
S103	13	1	170	182	206	234	234	242	302	358	386	358	368	402	354	354	344	240	280	298
S104	13	3	150	178	196	226	224	258	302	350	370	352	374	414	352	356	344	244	280	292
S105	1	6	162	176	194	224	226	242	302	344	376	354	360	404	358	358	350	240	272	284
S106	4	5	146	182	208	222	234	254	300	358	378	346	362	406	358	346	358	240	280	284
S107	4	6	160	188	194	222	224	256	318	356	388	348	378	414	344	300	350	248	278	282
S108	11	4	146	176	208	234	220	244	302	356	386	356	378	412	346	346	344	230	270	298
S109	12	8	154	180	190	220	224	242	306	342	370	300	376	416	358	348	350	242	272	292
S110	6	1	140	186	194	220	234	254	304	344	388	342	374	400	352	344	300	248	274	296
S111	14	8	142	178	206	226	226	248	310	358	374	348	374	404	300	350	344	238	266	294
S112	2	3	154	174	192	236	232	254	306	352	386	354	362	400	354	342	344	242	274	290
S113	14	1	160	184	206	224	222	254	306	356	370	358	370	406	346	342	348	236	266	288
S114	7	5	146	186	208	222	224	256	318	342	372	358	360	404	346	356	300	232	266	294
S115	5	5	150	176	204	220	238	246	316	346	374	356	360	410	348	356	358	236	268	296
S116	13	3	150	182	194	222	232	258	312	358	370	344	376	418	356	354	358	238	276	290
S117	6	1	164	174	202	222	232	240	312	346	380	356	376	410	300	350	358	246	278	290
S118	5	1	140	174	196	232	234	256	302	358	372	358	368	416	342	358	346	240	266	290
S119	12	4	154	172	190	220	222	258	304	358	380	356	362	400	350	352	358	234	264	290
S120	9	2	142	188	194	234	236	258	300	346	382	352	370	414	350	358	358	240	270	300
S121	13	6	150	174	194	238	300	254	310	356	372	356	366	404	344	352	356	230	268	288
S122	1	3	146	184	202	230	300	248	314	352	388	348	372	410	350	358	342	246	264	286
S123	4	6	164	178	206	234	300	246	314	350	384	358	374	410	354	344	358	242	278	300
S124	13	8	150	174	196	236	234	248	300	358	388	342	378	400	352	346	342	248	274	292
S125	10	5	164	178	194	236	220	252	316	350	384	346	376	412	352	352	348	236	266	286
S126	5	8	166	186	198	234	300	244	316	346	370	356	364	412	354	352	358	236	272	284
S127	6	6	170	176	206	222	222	248	306	358	374	352	368	410	344	342	348	230	262	286
S128	9	2	146	176	200	228	224	244	308	348	370	344	366	404	300	346	352	246	262	290
S129	5	3	140	182	204	226	300	252	312	350	386	346	378	414	350	346	358	230	280	284
S130	4	6	166	182	204	220	234	246	314	346	372	358	366	402	356	344	356	244	264	286
S131	1	6	162	182	190	222	300	256	312	358	384	354	360	402	342	342	344	232	276	292
S132	4	5	140	182	190	236	300	250	308	344	374	358	370	412	346	346	358	244	280	286
S133	10	6	146	180	206	228	300	256	312	352	382	NA	NA	NA	354	348	358	238	266	294
S134	2	6	164	178	206	230	232	246	300	348	378	342	368	400	344	346	352	246	272	290
S135	7	8	164	184	206	228	232	252	312	348	374	352	366	406	356	358	344	238	266	298
S136	3	6	150	174	208	220	236	258	304	354	380	348	366	406	348	354	350	244	264	300
S137	9	2	154	174	198	220	230	250	310	358	378	300	366	402	346	344	344	236	264	282
S138	10	7	166	178	194	226	300	258	304	344	374	356	378	410	358	358	348	248	266	292
S139	15	1	166	178	204	224	238	240	304	346	384	358	366	404	354	356	344	244	262	282
S140	2	8	162	180	204	222	220	246	300	350	378	344	376	410	346	350	356	230	280	296
S141	4	2	142	172	194	232	238	254	306	358	386	356	368	414	352	354	346	246	266	286
S142	3	1	162	182	206	236	222	250	NA	NA	NA	348	364	408	342	354	348	232	278	290
S143	5	1	142	180	204	220	300	248	318	350	380	354	370	414	358	300	358	244	276	286
S144	1	1	170	182	208	230	220	248	304	354	384	346	368	402	344	358	342	236	280	298
S145	15	1	140	176	204	238	300	258	318	344	380	342	360	404	358	300	350	236	272	282
S146	14	6	140	184	208	228	238	240	314	350	378	346	372	418	300	356	348	232	274	300
S147	11	2	146	172	192	230	234	254	314	352	388	348	368	404	356	356	352	246	268	292
S148	14	5	170	188	190	222	222	256	310	344	382	358	368	414	358	358	358	244	274	298
S149	1	2	146	188	202	234	236	242	308	358	370	354	376	414	300	358	350	238	266	296
S150	11	1	140	178	206	224	230	248	314	354	388	354	378	400	300	342	358	230	276	294
S151	12	1	146	182	198	220	234	258	308	346	382	344	378	416	300	342	348	246	274	290
S152	12	3	170	180	196	224	234	242	316	358	370	358	360	402	350	358	350	242	276	288
S153	13	1	154	186	196	222	224	256	300	356	378	354	378	402	352	348	300	230	280	292
S154	14	5	146	172	208	222	224	258	312	348	386	356	374	402	354	354	346	234	266	300
S155	8	7	170	186	208	228	236	242	318	354	374	356	360	406	356	350	356	240	264	286
S156	9	1	166	180	196	232	226	244	316	358	384	344	362	406	300	354	358	236	266	282
S157	2	8	160	172	208	224	222	246	318	352	370	352	378	408	358	300	358	240	272	296
S158	13	3	160	174	206	228	300	254	316	358	380	344	370	412	346	300	358	244	280	296
S159	3	2	146	184	194	226	232	248	310	358	388	358	360	418	344	352	346	248	270	290
S160	10	1	166	180	206	236	300	246	316	350	376	346	376	400	344	300	300	232	264	300
S161	10	8	150	188	208	228	232	242	314	358	388	346	366	400	344	300	350	242	278	282
S162	11	1	154	182	204	NA	NA	NA	308	358	372	348	366	410	344	344	344	244	266	298
S163	14	1	146	188	194	232	236	240	310	344	374	358	362	402	354	300	358	244	272	298
S164	9	6	142	182	208	234	224	252	316	350	384	352	370	404	342	356	344	234	262	294
S165	7	4	170	182	202	232	236	250	304	346	386	342	370	414	356	358	344	236	278	294
S166	1	5	170	184	196	238	226	252	318	358	380	354	378	400	350	344	348	240	276	284
S167	2	2	140	182	202	232	224	252	314	356	380	356	372	402	346	350	358	232	270	282
S168	1	3	166	180	194	224	220	242	302	358	384	352	378	418	358	356	350	240	264	294
S169	11	5	166	184	208	228	230	242	314	350	370	356	376	400	300	342	358	248	262	288
S170	8	3	150	180	194	230	234	246	316	342	374	356	364	418	350	348	358	230	262	296
S171	3	6	162	184	194	232	232	244	308	352	378	342	366	418	344	356	346	246	270	298
S172	5	6	140	182	206	236	224	246	316	350	370	344	370	418	352	342	356	230	276	292
S173	8	8	142	184	206	232	224	254	312	350	374	358	372	412	344	346	356	230	276	298
S174	12	4	162	182	198	220	236	242	316	356	388	346	370	402	344	356	350	232	270	296
S175	15	6	140	184	202	222	238	246	316	342	386	346	372	418	352	342	300	246	266	296
S176	3	1	166	182	204	226	236	244	316	350	374	356	370	418	346	346	344	232	276	298
S177	13	7	142	172	196	224	236	248	314	352	370	356	360	414	300	356	356	238	264	290
S178	11	6	166	182	200	222	234	250	306	350	370	344	374	414	346	346	358	236	272	298
S179	13	1	140	186	206	232	232	258	308	348	376	300	362	402	344	344	358	238	278	294
S180	10	1	150	186	198	232	232	240	316	344	376	344	364	402	344	350	356	238	272	292
S181	5	3	170	184	204	230	232	250	300	342	388	352	362	400	352	354	356	230	262	282
S182	11	4	146	176	204	226	234	258	300	342	378	300	360	410	354	348	346	234	272	300
S183	13	8	140	178	190	236	220	258	308	358	384	354	378	412	356	352	344	248	268	294
S184	8	4	160	174	198	222	238	240	318	344	370	358	362	404	352	352	348	246	268	296
S185	1	5	140	188	198	226	222	244	300	342	380	352	360	410	342	352	356	246	276	290
S186	7	2	162	184	202	226	230	256	318	348	382	354	366	416	300	352	352	246	280	286
S187	6	5	142	180	190	234	300	240	312	354	384	354	368	408	348	356	356	234	268	286
S188	2	5	170	180	198	230	232	240	308	356	378	342	366	414	356	352	300	248	274	284
S189	9	2	164	182	194	234	224	242	300	348	374	358	376	404	356	300	346	234	262	288
S190	10	5	164	188	202	222	226	242	300	346	388	342	360	412	342	348	300	236	268	292
S191	4	3	170	174	200	232	226	254	314	346	372	348	366	402	354	358	342	238	274	298
S192	2	3	140	172	192	234	236	258	308	358	386	344	362	414	344	354	352	240	274	290
S193	12	8	170	178	206	236	230	258	304	358	386	352	376	406	356	352	350	238	274	286
S194	13	2	140	172	200	234	238	254	318	348	384	354	370	412	350	342	344	236	262	294
S195	13	8	170	182	190	222	230	256	302	354	372	348	362	416	358	346	352	238	272	286
S196	3	8	164	176	202	236	232	256	314	354	380	344	376	404	348	354	350	234	270	294
S197	5	2	164	178	198	232	224	252	310	348	386	356	368	406	344	354	348	248	280	282
S198	9	8	164	176	192	232	224	244	300	344	374	344	360	416	346	342	358	232	280	292
S199	13	4	164	186	208	230	300	240	316	356	372	358	376	404	354	352	352	246	276	300
S200	4	1	166	184	198	222	226	246	304	352	374	346	362	406	350	300	300	236	278	288
S201	2	4	170	184	192	226	238	252	314	356	376	358	374	404	356	346	344	234	262	290
S202	10	1	166	176	194	230	222	240	306	358	374	300	364	402	352	300	350	244	272	288
S203	14	1	162	182	190	222	300	242	306	358	378	352	368	410	348	344	350	240	264	288
S204	11	3	170	182	204	222	300	254	300	346	382	352	368	404	346	358	346	232	262	292
S205	12	7	160	182	206	226	300	254	312	356	388	348	362	402	342	342	346	240	278	300
S206	15	2	146	184	208	222	226	250	310	358	384	352	368	408	356	300	356	240	262	288
S207	3	7	162	186	200	228	236	256	316	348	374	358	362	408	342	350	358	232	280	294
S208	4	6	142	188	196	236	238	258	302	358	376	358	368	416	348	348	346	230	274	286
S209	6	7	160	188	198	226	230	242	304	358	388	358	370	402	346	352	350	234	276	282
S210	8	8	166	188	200	238	230	252	310	354	386	358	370	410	344	300	352	232	278	282
S211	12	1	146	182	198	230	224	250	308	348	374	358	364	408	354	342	350	232	280	298
S212	2	2	170	178	196	224	220	256	314	348	380	346	372	410	358	346	344	240	272	284
S213	10	4	154	182	194	230	226	258	306	342	386	348	362	410	344	342	358	244	278	296
S214	12	8	142	188	206	220	222	246	312	352	378	300	366	412	342	352	342	232	270	288
S215	15	8	164	180	194	230	230	252	310	358	388	352	378	408	350	352	358	236	268	284
S216	11	2	140	172	190	222	220	256	304	348	374	356	366	412	358	350	348	248	280	296
S217	1	2	140	174	204	222	226	258	318	356	384	346	362	418	358	344	356	238	274	282
S218	6	5	150	182	194	226	232	258	300	342	372	352	372	412	352	358	300	230	278	294
S219	1	1	160	188	204	226	234	242	318	344	386	348	368	400	300	342	352	230	266	292
S220	6	5	154	176	206	226	238	258	306	358	388	346	362	414	346	358	352	242	266	284
S221	10	1	140	184	196	224	226	248	302	342	386	358	370	410	356	346	358	234	264	290
S222	15	3	166	184	194	222	220	252	304	358	370	356	364	418	352	352	344	244	270	288
S223	9	8	166	172	204	238	222	248	312	348	386	352	376	404	354	356	300	240	266	292
S224	2	3	140	174	198	236	222	246	316	358	370	344	364	414	358	358	358	238	274	298
S225	13	3	162	172	194	228	230	250	308	358	388	358	370	402	354	346	356	248	262	290
S226	9	5	162	182	202	228	232	256	316	342	380	300	364	410	354	300	300	248	262	296
S227	2	7	160	182	206	222	220	252	310	352	380	354	374	410	348	356	356	242	268	288
S228	7	7	146	172	208	234	220	250	318	342	384	342	374	408	354	346	356	244	266	300
S229	8	1	166	172	204	222	226	254	304	358	382	348	376	418	352	354	342	246	272	294
S230	13	2	164	176	206	232	236	246	304	354	380	348	374	400	344	346	348	248	276	284
S231	8	5	164	182	202	226	236	258	318	350	388	300	376	416	300	300	300	244	280	300
S232	14	8	160	178	192	224	300	252	304	346	384	352	360	400	352	350	358	238	274	300
S233	3	7	170	182	194	238	232	250	312	344	384	300	372	406	356	300	358	240	274	300
S234	5	5	154	174	202	234	230	256	310	354	374	358	372	412	346	346	300	246	274	290
S235	13	2	162	188	192	220	224	242	310	354	386	358	378	412	300	350	348	236	266	290
S236	14	3	154	184	200	228	234	244	314	354	386	356	364	410	352	356	356	234	264	284
S237	6	8	160	180	208	228	234	240	318	346	388	342	362	414	354	344	358	240	276	282
S238	4	8	146	180	200	220	230	244	306	350	372	352	364	406	354	356	358	248	270	284
S239	12	7	170	184	198	226	222	258	306	342	380	356	364	414	358	348	342	232	280	288
S240	15	8	154	176	208	232	220	242	310	350	386	300	366	416	346	346	300	234	268	300
S241	8	4	154	186	192	238	232	242	316	354	372	300	366	410	352	346	342	232	270	298
S242	1	8	162	174	208	230	234	248	310	358	370	300	378	412	300	350	348	238	280	292
S243	1	5	170	182	204	232	232	256	314	342	378	358	368	404	354	356	346	240	270	284
S244	13	2	146	188	200	234	220	242	310	342	374	358	376	404	344	300	352	242	280	300
S245	11	6	154	188	192	234	232	250	304	342	382	342	366	406	300	354	356	242	270	290
S246	15	8	142	186	204	226	224	252	306	354	388	346	366	404	354	300	348	232	266	298
S247	5	2	166	176	208	230	232	242	308	356	378	346	370	410	348	356	352	232	270	294
S248	9	3	154	182	192	224	238	242	310	358	380	348	368	418	350	344	350	232	270	292
S249	1	6	166	174	206	238	230	242	302	350	374	352	366	408	354	300	348	238	276	294
S250	3	6	150	178	206	220	234	242	318	358	382	300	372	408	358	352	352	246	268	298
S251	6	5	154	178	194	232	226	240	316	350	374	358	378	404	356	300	348	242	262	282
S252	9	3	164	172	208	226	220	246	306	352	378	346	378	410	346	358	346	238	276	294
S253	5	7	142	188	192	230	300	242	316	350	380	346	364	408	358	346	300	242	272	288
S254	4	5	170	176	192	228	232	258	316	354	374	356	374	408	352	354	350	236	266	300
S255	14	2	162	182	194	230	232	242	300	342	374	346	376	412	342	344	358	242	268	294
S256	2	6	146	182	204	230	300	252	302	358	384	342	372	416	300	346	352	246	274	292
S257	4	3	142	176	206	238	222	244	300	358	380	344	370	404	348	354	348	244	266	282
S258	6	6	162	184	198	224	230	240	312	346	370	300	370	414	350	346	350	248	270	284
S259	2	8	140	186	196	230	224	250	306	354	386	348	366	418	348	344	356	236	274	292
S260	9	7	160	178	204	228	234	252	310	350	384	354	374	402	352	350	358	248	262	298
S261	9	2	142	172	200	232	222	240	314	354	388	348	360	418	342	356	300	246	272	282
S262	15	6	150	188	192	236	224	252	308	356	386	358	364	408	348	352	342	246	278	290
S263	11	7	154	176	196	226	220	248	312	356	384	342	374	410	358	342	358	236	272	290
S264	2	1	162	180	204	222	232	250	314	358	370	358	362	400	358	346	300	234	280	290
S265	13	2	160	178	196	226	238	256	300	342	382	346	378	412	352	350	346	230	276	298
S266	12	8	140	172	192	226	220	256	300	354	370	354	374	418	342	346	358	236	276	284
S267	8	1	164	174	190	234	226	258	318	354	370	352	366	402	348	358	356	248	278	298
S268	14	6	142	186	190	226	238	244	314	348	378	346	378	406	300	348	350	242	280	284
S269	1	8	154	176	208	220	236	242	312	354	388	348	378	416	350	348	344	240	272	300
S270	3	6	146	182	194	222	234	240	316	356	374	358	366	414	346	346	350	240	274	300
S271	7	7	146	176	206	234	224	254	306	352	386	300	376	418	352	346	300	246	268	298
S272	9	4	142	186	194	224	238	250	312	344	376	354	378	416	358	348	344	246	268	290
S273	12	5	166	178	196	232	224	252	306	358	384	356	370	408	342	356	350	234	274	292
S274	8	2	162	188	192	220	300	242	316	342	382	346	374	400	356	356	346	232	278	288
S275	10	4	166	182	190	228	236	252	312	352	374	356	370	400	356	350	358	232	272	296
S276	15	4	142	182	190	236	300	240	300	344	384	346	366	404	354	358	346	248	280	296
S277	5	7	146	172	196	222	224	246	312	354	382	346	374	414	358	354	346	234	264	288
S278	7	2	154	182	204	236	234	258	312	354	388	358	374	410	350	356	346	236	276	300
S279	10	1	142	180	202	228	226	252	310	346	370	348	372	404	348	348	342	246	280	294
S280	11	6	150	182	204	224	230	258	310	346	382	354	370	412	344	342	348	232	274	290
S281	7	5	166	182	198	234	232	246	300	348	388	358	368	410	356	350	358	236	276	284
S282	9	5	146	186	194	232	220	240	312	358	374	300	364	402	348	344	300	246	266	298
S283	9	2	170	182	190	230	232	254	308	358	386	300	378	414	346	354	348	248	280	300
S284	7	4	164	176	202	228	226	250	312	356	386	300	360	400	342	344	346	230	278	294
S285	9	6	142	176	192	228	238	254	300	354	388	352	368	412	300	358	344	238	264	300
S286	1	5	150	172	200	220	224	242	316	352	370	348	370	410	356	352	350	244	268	284
S287	9	1	166	180	194	232	232	240	304	350	376	356	378	400	300	346	346	240	266	282
S288	1	2	160	184	206	232	232	258	308	356	382	356	364	402	342	356	358	246	272	296
S289	11	3	140	180	196	230	238	256	302	344	384	348	368	416	348	358	352	246	264	288
S290	6	8	142	184	190	224	230	240	300	356	374	346	376	418	342	352	346	230	278	300
S291	8	6	166	182	202	232	236	246	300	358	384	348	364	408	344	342	346	234	262	292
S292	8	1	170	186	192	228	230	242	304	358	386	356	366	412	354	350	352	232	262	298
S293	4	6	164	186	208	234	236	252	316	354	374	348	364	406	354	342	358	240	262	286
S294	5	3	166	176	208	238	300	244	302	354	388	358	370	418	346	354	300	234	272	286
S295	3	8	150	186	192	230	232	254	304	352	386	348	366	408	342	346	356	246	280	300
S296	7	4	160	178	194	226	238	246	318	344	384	358	360	404	358	346	356	240	266	290
S297	3	7	160	186	190	226	300	240	318	350	386	344	360	414	348	358	344	232	262	288
S298	2	2	160	182	198	220	224	252	316	348	384	300	376	410	354	350	342	244	268	284
S299	5	7	150	182	200	234	222	246	304	354	374	358	374	414	346	300	358	248	268	298
S300	6	6	162	176	200	226	234	248	318	358	386	344	376	406	342	342	358	234	280	284
S301	14	2	146	176	196	236	234	242	316	352	386	344	372	412	354	350	358	248	274	286
S302	13	5	142	184	204	234	236	248	318	354	370	358	370	418	354	300	356	242	274	286
S303	15	4	146	186	202	220	226	248	310	356	384	342	366	416	342	350	342	246	272	284
S304	10	8	160	184	196	220	238	240	308	356	376	354	372	404	348	348	342	232	264	286
S305	12	7	162	188	208	224	232	248	302	358	382	352	376	402	354	352	342	232	276	290
S306	2	3	162	172	196	238	222	256	310	342	376	346	370	400	346	342	348	248	276	294
S307	3	1	154	182	196	228	224	240	314	356	386	352	376	418	354	344	342	236	266	286
S308	1	8	170	176	198	220	300	240	314	350	370	348	360	410	300	358	358	240	278	286
S309	5	3	150	172	206	234	230	252	308	344	380	354	372	404	354	358	356	232	262	282
S310	10	1	170	182	208	222	224	254	306	356	370	358	378	418	342	354	346	242	280	294
S311	2	2	160	178	192	220	220	240	310	344	386	358	378	406	342	352	358	238	262	282
S312	7	1	170	178	192	238	224	248	300	354	370	348	378	406	342	352	358	232	268	288
S313	8	6	160	186	194	232	220	258	316	344	384	346	364	402	300	354	350	240	266	288
S314	5	3	164	174	194	238	238	242	302	346	380	358	360	410	350	358	346	244	274	290
S315	8	1	150	182	196	238	222	240	312	350	384	358	378	402	342	358	348	236	266	288
S316	12	1	166	176	192	236	232	244	318	358	380	354	376	402	300	348	342	244	264	288
S317	6	8	170	180	196	232	224	246	318	350	374	342	360	418	354	356	356	240	278	292
S318	4	4	164	176	194	230	220	242	314	358	372	346	366	404	348	356	344	234	266	286
